,Side,Type,Metric,Value
0,head,optimistic,inverse_geometric_mean_rank,0.008876329031482406
1,tail,optimistic,inverse_geometric_mean_rank,0.010527255498939408
2,both,optimistic,inverse_geometric_mean_rank,0.009666611795612177
3,head,realistic,inverse_geometric_mean_rank,0.00887630507349968
4,tail,realistic,inverse_geometric_mean_rank,0.010527214966714382
5,both,realistic,inverse_geometric_mean_rank,0.00966657605022192
6,head,pessimistic,inverse_geometric_mean_rank,0.008876279414562706
7,tail,pessimistic,inverse_geometric_mean_rank,0.010527176941818732
8,both,pessimistic,inverse_geometric_mean_rank,0.009666548710999449
9,head,optimistic,adjusted_geometric_mean_rank_index,0.9971109596616047
10,tail,optimistic,adjusted_geometric_mean_rank_index,0.997566107202605
11,both,optimistic,adjusted_geometric_mean_rank_index,0.9973481825305218
12,head,realistic,adjusted_geometric_mean_rank_index,0.9971109517217146
13,tail,realistic,adjusted_geometric_mean_rank_index,0.9975660978171569
14,both,realistic,adjusted_geometric_mean_rank_index,0.9973481727315612
15,head,pessimistic,adjusted_geometric_mean_rank_index,0.9971109433677218
16,tail,pessimistic,adjusted_geometric_mean_rank_index,0.9975660888468926
17,both,pessimistic,adjusted_geometric_mean_rank_index,0.9973481650556418
18,head,optimistic,z_inverse_harmonic_mean_rank,7005.2512726633495
19,tail,optimistic,z_inverse_harmonic_mean_rank,7359.087992031317
20,both,optimistic,z_inverse_harmonic_mean_rank,10157.172713810902
21,head,realistic,z_inverse_harmonic_mean_rank,7005.24185186919
22,tail,realistic,z_inverse_harmonic_mean_rank,7359.040259076541
23,both,realistic,z_inverse_harmonic_mean_rank,10157.13350564819
24,head,pessimistic,z_inverse_harmonic_mean_rank,7005.2337243548145
25,tail,pessimistic,z_inverse_harmonic_mean_rank,7359.001293678379
26,both,pessimistic,z_inverse_harmonic_mean_rank,10157.098990280267
27,head,optimistic,harmonic_mean_rank,16.381294451413737
28,tail,optimistic,harmonic_mean_rank,15.588680903122393
29,both,optimistic,harmonic_mean_rank,15.975162267176751
30,head,realistic,harmonic_mean_rank,16.38131643961646
31,tail,realistic,harmonic_mean_rank,15.588781833732641
32,both,realistic,harmonic_mean_rank,15.975223819983245
33,head,pessimistic,harmonic_mean_rank,16.381335409342103
34,tail,pessimistic,harmonic_mean_rank,15.588864226446086
35,both,pessimistic,harmonic_mean_rank,15.975278005974324
36,head,optimistic,adjusted_arithmetic_mean_rank_index,0.9541539268554224
37,tail,optimistic,adjusted_arithmetic_mean_rank_index,0.9759637925808463
38,both,optimistic,adjusted_arithmetic_mean_rank_index,0.9650544485471976
39,head,realistic,adjusted_arithmetic_mean_rank_index,0.9541538304640123
40,tail,realistic,adjusted_arithmetic_mean_rank_index,0.9759637333988966
41,both,realistic,adjusted_arithmetic_mean_rank_index,0.965054373077862
42,head,pessimistic,adjusted_arithmetic_mean_rank_index,0.9541537217497486
43,tail,pessimistic,adjusted_arithmetic_mean_rank_index,0.975963678612685
44,both,pessimistic,adjusted_arithmetic_mean_rank_index,0.9650542889918469
45,head,optimistic,count,206800.0
46,tail,optimistic,count,206800.0
47,both,optimistic,count,413600.0
48,head,realistic,count,206800.0
49,tail,realistic,count,206800.0
50,both,realistic,count,413600.0
51,head,pessimistic,count,206800.0
52,tail,pessimistic,count,206800.0
53,both,pessimistic,count,413600.0
54,head,optimistic,inverse_harmonic_mean_rank,0.06104523686854906
55,tail,optimistic,inverse_harmonic_mean_rank,0.0641491096145089
56,both,optimistic,inverse_harmonic_mean_rank,0.06259717324152898
57,head,realistic,inverse_harmonic_mean_rank,0.06104515492916107
58,tail,realistic,inverse_harmonic_mean_rank,0.06414869427680969
59,both,realistic,inverse_harmonic_mean_rank,0.06259693205356598
60,head,pessimistic,inverse_harmonic_mean_rank,0.06104508423835279
61,tail,pessimistic,inverse_harmonic_mean_rank,0.06414835522805613
62,both,pessimistic,inverse_harmonic_mean_rank,0.06259671973320445
63,head,optimistic,standard_deviation,9627.347836471907
64,tail,optimistic,standard_deviation,6409.47769476074
65,both,optimistic,standard_deviation,8198.311461554615
66,head,realistic,standard_deviation,9627.361328125
67,tail,realistic,standard_deviation,6409.48779296875
68,both,realistic,standard_deviation,8198.32421875
69,head,pessimistic,standard_deviation,9627.37640855395
70,tail,pessimistic,standard_deviation,6409.497910613016
71,both,pessimistic,standard_deviation,8198.33630775723
72,head,optimistic,inverse_arithmetic_mean_rank,0.00041507882207334184
73,tail,optimistic,inverse_arithmetic_mean_rank,0.0007920531272162909
74,both,optimistic,inverse_arithmetic_mean_rank,0.0005447034671858607
75,head,realistic,inverse_arithmetic_mean_rank,0.0004150779568590224
76,tail,realistic,inverse_arithmetic_mean_rank,0.0007920511998236179
77,both,realistic,inverse_arithmetic_mean_rank,0.0005447022849693894
78,head,pessimistic,inverse_arithmetic_mean_rank,0.0004150769658772191
79,tail,pessimistic,inverse_arithmetic_mean_rank,0.0007920493746728057
80,both,pessimistic,inverse_arithmetic_mean_rank,0.0005447009815299654
81,head,optimistic,median_rank,100.0
82,tail,optimistic,median_rank,100.0
83,both,optimistic,median_rank,100.0
84,head,realistic,median_rank,100.0
85,tail,realistic,median_rank,100.0
86,both,realistic,median_rank,100.0
87,head,pessimistic,median_rank,100.0
88,tail,pessimistic,median_rank,100.0
89,both,pessimistic,median_rank,100.0
90,head,optimistic,geometric_mean_rank,112.65918562203112
91,tail,optimistic,geometric_mean_rank,94.99151987911257
92,both,optimistic,geometric_mean_rank,103.44886307050369
93,head,realistic,geometric_mean_rank,112.65949249267578
94,tail,realistic,geometric_mean_rank,94.99188232421875
95,both,realistic,geometric_mean_rank,103.4492416381836
96,head,pessimistic,geometric_mean_rank,112.65981536806606
97,tail,pessimistic,geometric_mean_rank,94.99222873584897
98,both,pessimistic,geometric_mean_rank,103.44953818544482
99,head,optimistic,adjusted_arithmetic_mean_rank,0.04586423763406588
100,tail,optimistic,adjusted_arithmetic_mean_rank,0.02405480214621943
101,both,optimistic,adjusted_arithmetic_mean_rank,0.03496393089005236
102,head,realistic,adjusted_arithmetic_mean_rank,0.04586433402364111
103,tail,realistic,adjusted_arithmetic_mean_rank,0.024054861327041502
104,both,realistic,adjusted_arithmetic_mean_rank,0.03496400635795058
105,head,pessimistic,adjusted_arithmetic_mean_rank,0.04586444273583511
106,tail,pessimistic,adjusted_arithmetic_mean_rank,0.024054916112209394
107,both,pessimistic,adjusted_arithmetic_mean_rank,0.03496409044236434
108,head,optimistic,median_absolute_deviation,137.88200632102098
109,tail,optimistic,median_absolute_deviation,139.36460853952659
110,both,optimistic,median_absolute_deviation,139.36460853952659
111,head,realistic,median_absolute_deviation,137.88200632102098
112,tail,realistic,median_absolute_deviation,139.36460853952659
113,both,realistic,median_absolute_deviation,139.36460853952659
114,head,pessimistic,median_absolute_deviation,137.88200632102098
115,tail,pessimistic,median_absolute_deviation,139.36460853952659
116,both,pessimistic,median_absolute_deviation,139.36460853952659
117,head,optimistic,arithmetic_mean_rank,2409.180971953578
118,tail,optimistic,arithmetic_mean_rank,1262.5415715667311
119,both,optimistic,arithmetic_mean_rank,1835.8612717601548
120,head,realistic,arithmetic_mean_rank,2409.18603515625
121,tail,realistic,arithmetic_mean_rank,1262.544677734375
122,both,realistic,arithmetic_mean_rank,1835.865234375
123,head,pessimistic,arithmetic_mean_rank,2409.191745647969
124,tail,pessimistic,arithmetic_mean_rank,1262.5475531914894
125,both,pessimistic,arithmetic_mean_rank,1835.8696494197293
126,head,optimistic,z_geometric_mean_rank,453.90174418249603
127,tail,optimistic,z_geometric_mean_rank,454.1084806146126
128,both,optimistic,z_geometric_mean_rank,642.8153006256179
129,head,realistic,z_geometric_mean_rank,453.90174056812396
130,tail,realistic,z_geometric_mean_rank,454.10847634220244
131,both,realistic,z_geometric_mean_rank,642.815294309948
132,head,pessimistic,z_geometric_mean_rank,453.9017367652454
133,tail,pessimistic,z_geometric_mean_rank,454.10847225879075
134,both,pessimistic,z_geometric_mean_rank,642.8152893626301
135,head,optimistic,adjusted_inverse_harmonic_mean_rank,0.06093672450141725
136,tail,optimistic,adjusted_inverse_harmonic_mean_rank,0.06404087462519147
137,both,optimistic,adjusted_inverse_harmonic_mean_rank,0.06248879949587235
138,head,realistic,adjusted_inverse_harmonic_mean_rank,0.060936642552559754
139,tail,realistic,adjusted_inverse_harmonic_mean_rank,0.06404045923945675
140,both,realistic,adjusted_inverse_harmonic_mean_rank,0.06248855828002544
141,head,pessimistic,adjusted_inverse_harmonic_mean_rank,0.060936571853581936
142,tail,pessimistic,adjusted_inverse_harmonic_mean_rank,0.06404012015149083
143,both,pessimistic,adjusted_inverse_harmonic_mean_rank,0.06248834593511742
144,head,optimistic,variance,92685826.36442031
145,tail,optimistic,variance,41081404.31963544
146,both,optimistic,variance,67212310.82065776
147,head,realistic,variance,92686088.0
148,tail,realistic,variance,41081532.0
149,both,realistic,variance,67212512.0
150,head,pessimistic,variance,92686376.51198116
151,tail,pessimistic,variance,41081663.466152616
152,both,pessimistic,variance,67212718.21509045
153,head,optimistic,inverse_median_rank,0.01
154,tail,optimistic,inverse_median_rank,0.01
155,both,optimistic,inverse_median_rank,0.01
156,head,realistic,inverse_median_rank,0.009999999776482582
157,tail,realistic,inverse_median_rank,0.009999999776482582
158,both,realistic,inverse_median_rank,0.009999999776482582
159,head,pessimistic,inverse_median_rank,0.01
160,tail,pessimistic,inverse_median_rank,0.01
161,both,pessimistic,inverse_median_rank,0.01
162,head,optimistic,z_arithmetic_mean_rank,751.5310456101339
163,tail,optimistic,z_arithmetic_mean_rank,768.7053557052869
164,both,optimistic,z_arithmetic_mean_rank,1074.9645010716422
165,head,realistic,z_arithmetic_mean_rank,751.5309696882777
166,tail,realistic,z_arithmetic_mean_rank,768.7053090913839
167,both,realistic,z_arithmetic_mean_rank,1074.964417007104
168,head,pessimistic,z_arithmetic_mean_rank,751.530884060433
169,tail,pessimistic,z_arithmetic_mean_rank,768.7052659397274
170,both,pessimistic,z_arithmetic_mean_rank,1074.9643233445324
171,head,optimistic,hits_at_1,0.003897485493230174
172,tail,optimistic,hits_at_1,0.0037572533849129595
173,both,optimistic,hits_at_1,0.0038273694390715666
174,head,realistic,hits_at_1,0.003897485493230174
175,tail,realistic,hits_at_1,0.0037572533849129595
176,both,realistic,hits_at_1,0.0038273694390715666
177,head,pessimistic,hits_at_1,0.003897485493230174
178,tail,pessimistic,hits_at_1,0.0037572533849129595
179,both,pessimistic,hits_at_1,0.0038273694390715666
180,head,optimistic,hits_at_3,0.06818665377176016
181,tail,optimistic,hits_at_3,0.074642166344294
182,both,optimistic,hits_at_3,0.07141441005802708
183,head,realistic,hits_at_3,0.06818665377176016
184,tail,realistic,hits_at_3,0.074642166344294
185,both,realistic,hits_at_3,0.07141441005802708
186,head,pessimistic,hits_at_3,0.06818665377176016
187,tail,pessimistic,hits_at_3,0.074642166344294
188,both,pessimistic,hits_at_3,0.07141441005802708
189,head,optimistic,hits_at_5,0.10378143133462282
190,tail,optimistic,hits_at_5,0.11146034816247583
191,both,optimistic,hits_at_5,0.10762088974854932
192,head,realistic,hits_at_5,0.10378143133462282
193,tail,realistic,hits_at_5,0.11146034816247583
194,both,realistic,hits_at_5,0.10762088974854932
195,head,pessimistic,hits_at_5,0.10378143133462282
196,tail,pessimistic,hits_at_5,0.11146034816247583
197,both,pessimistic,hits_at_5,0.10762088974854932
198,head,optimistic,hits_at_10,0.16544970986460347
199,tail,optimistic,hits_at_10,0.17209864603481626
200,both,optimistic,hits_at_10,0.16877417794970986
201,head,realistic,hits_at_10,0.16544970986460347
202,tail,realistic,hits_at_10,0.17209864603481626
203,both,realistic,hits_at_10,0.16877417794970986
204,head,pessimistic,hits_at_10,0.16544970986460347
205,tail,pessimistic,hits_at_10,0.17209864603481626
206,both,pessimistic,hits_at_10,0.16877417794970986
207,head,optimistic,z_hits_at_k,7707.601891826568
208,tail,optimistic,z_hits_at_k,8014.237992355375
209,both,optimistic,z_hits_at_k,11117.063781640723
210,head,realistic,z_hits_at_k,7707.601891826568
211,tail,realistic,z_hits_at_k,8014.237992355375
212,both,realistic,z_hits_at_k,11117.063781640723
213,head,pessimistic,z_hits_at_k,7707.601891826568
214,tail,pessimistic,z_hits_at_k,8014.237992355375
215,both,pessimistic,z_hits_at_k,11117.063781640723
216,head,optimistic,adjusted_hits_at_k,0.1653702625302997
217,tail,optimistic,adjusted_hits_at_k,0.17201976703986543
218,both,optimistic,adjusted_hits_at_k,0.16869501465533263
219,head,realistic,adjusted_hits_at_k,0.1653702625302997
220,tail,realistic,adjusted_hits_at_k,0.17201976703986543
221,both,realistic,adjusted_hits_at_k,0.16869501465533263
222,head,pessimistic,adjusted_hits_at_k,0.1653702625302997
